scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,263.3425,260.7091,263.3425,31-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,260.7091,3/31/2014,263.3425,263.3425,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,263.2343,260.602,263.2343,1-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,260.602,4/1/2014,263.2343,263.2343,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,265.4859,262.831,265.4859,2-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,262.831,4/2/2014,265.4859,265.4859,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,264.6447,261.9983,264.6447,3-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,261.9983,4/3/2014,264.6447,264.6447,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,263.6316,260.9953,263.6316,4-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,260.9953,4/4/2014,263.6316,263.6316,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,262.6358,260.0094,262.6358,7-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,260.0094,4/7/2014,262.6358,262.6358,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,265.6423,262.9859,265.6423,9-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,262.9859,4/9/2014,265.6423,265.6423,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,265.2263,262.574,265.2263,10-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,262.574,4/10/2014,265.2263,265.2263,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,264.1974,261.5554,264.1974,11-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,261.5554,4/11/2014,264.1974,264.1974,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,263.0194,260.3892,263.0194,15-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,260.3892,4/15/2014,263.0194,263.0194,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,260.047,257.4465,260.047,16-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,257.4465,4/16/2014,260.047,260.047,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,263.2974,260.6644,263.2974,17-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,260.6644,4/17/2014,263.2974,263.2974,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,265.023,262.3728,265.023,21-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,262.3728,4/21/2014,265.023,265.023,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,265.432,262.7777,265.432,22-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,262.7777,4/22/2014,265.432,265.432,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,266.4514,263.7869,266.4514,23-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,263.7869,4/23/2014,266.4514,266.4514,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,264.8197,262.1715,264.8197,25-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,262.1715,4/25/2014,264.8197,264.8197,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,264.3768,261.733,264.3768,28-Apr-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,261.733,4/28/2014,264.3768,264.3768,,,,,,,,,,
