scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.454,20.249,20.454,03-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.2490,2014-09-03,20.454,20.454
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.467,20.262,20.467,04-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.262,2014-09-04,20.467,20.467
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.704,20.497,20.704,05-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.4970,2014-09-05,20.704,20.704
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.976,20.766,20.976,08-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.766,2014-09-08,20.976,20.976
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.086,20.875,21.086,09-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.875,2014-09-09,21.086,21.086
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.091,20.88,21.091,10-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.88,2014-09-10,21.091,21.091
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.385,21.171,21.385,11-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.171,2014-09-11,21.385,21.385
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.629,21.413,21.629,12-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.413,2014-09-12,21.629,21.629
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.546,21.331,21.546,15-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.3310,2014-09-15,21.546,21.546
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.877,20.668,20.877,16-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.668,2014-09-16,20.877,20.877
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.877,20.668,20.877,17-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.6680,2014-09-17,20.877,20.877
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.206,20.994,21.206,18-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.994,2014-09-18,21.206,21.206
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.279,21.066,21.279,19-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.066,2014-09-19,21.279,21.279
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.272,21.059,21.272,22-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.059,2014-09-22,21.272,21.272
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.833,20.625,20.833,23-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.625,2014-09-23,20.833,20.833
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.571,20.365,20.571,24-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.3650,2014-09-24,20.571,20.571
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.284,20.081,20.284,25-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.081,2014-09-25,20.284,20.284
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.494,20.289,20.494,26-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.2890,2014-09-26,20.494,20.494
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.724,20.517,20.724,29-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.5170,2014-09-29,20.724,20.724
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.773,20.565,20.773,30-Sep-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.5650,2014-09-30,20.773,20.773
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.732,20.525,20.732,01-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.525,2014-10-01,20.732,20.732
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.486,20.281,20.486,07-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.281,2014-10-07,20.486,20.486
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.466,20.261,20.466,08-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.261,2014-10-08,20.466,20.466
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.664,20.457,20.664,09-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.457,2014-10-09,20.664,20.664
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.394,20.19,20.394,10-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.19,2014-10-10,20.394,20.394
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.478,20.273,20.478,13-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.273,2014-10-13,20.478,20.478
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.458,20.253,20.458,14-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.253,2014-10-14,20.458,20.458
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.007,19.807,20.007,16-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.8070,2014-10-16,20.007,20.007
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.142,19.941,20.142,17-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.941,2014-10-17,20.142,20.142
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.314,20.111,20.314,20-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.111,2014-10-20,20.314,20.314
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.488,20.283,20.488,21-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.283,2014-10-21,20.488,20.488
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.746,20.539,20.746,22-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.539,2014-10-22,20.746,20.746
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.851,20.642,20.851,27-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.642,2014-10-27,20.851,20.851
130504,HDFC Small Cap Fund - Direct Dividend Plan,20.984,20.774,20.984,28-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.774,2014-10-28,20.984,20.984
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.027,20.817,21.027,29-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.817,2014-10-29,21.027,21.027
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.205,20.993,21.205,30-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,20.993,2014-10-30,21.205,21.205
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.494,21.279,21.494,31-Oct-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.279,2014-10-31,21.494,21.494
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.57,21.354,21.57,03-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.3540,2014-11-03,21.57,21.57
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.559,21.343,21.559,05-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.343,2014-11-05,21.559,21.559
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.691,21.474,21.691,07-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.4740,2014-11-07,21.691,21.691
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.63,21.414,21.63,10-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.414,2014-11-10,21.63,21.63
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.832,21.614,21.832,11-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.614,2014-11-11,21.832,21.832
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.002,21.782,22.002,12-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.782,2014-11-12,22.002,22.002
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.937,21.718,21.937,13-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.718,2014-11-13,21.937,21.937
130504,HDFC Small Cap Fund - Direct Dividend Plan,21.964,21.744,21.964,14-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.744,2014-11-14,21.964,21.964
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.128,21.907,22.128,17-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.907,2014-11-17,22.128,22.128
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.252,22.029,22.252,18-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,22.029,2014-11-18,22.252,22.252
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.253,22.03,22.253,19-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,22.03,2014-11-19,22.253,22.253
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.292,22.069,22.292,20-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,22.069,2014-11-20,22.292,22.292
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.33,22.107,22.33,21-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,22.107,2014-11-21,22.33,22.33
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.277,22.054,22.277,24-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,22.054,2014-11-24,22.277,22.277
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.069,21.848,22.069,25-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.848,2014-11-25,22.069,22.069
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.055,21.834,22.055,26-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.834,2014-11-26,22.055,22.055
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.161,21.939,22.161,27-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,21.939,2014-11-27,22.161,22.161
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.403,22.179,22.403,28-Nov-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,22.179,2014-11-28,22.403,22.403
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.362,22.138,22.362,01-Dec-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,22.138,2014-12-01,22.362,22.362
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.542,22.317,22.542,02-Dec-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,22.317,2014-12-02,22.542,22.542
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.88,22.651,22.88,03-Dec-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,22.651,2014-12-03,22.88,22.88
130504,HDFC Small Cap Fund - Direct Dividend Plan,22.982,22.752,22.982,04-Dec-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,22.752,2014-12-04,22.982,22.982
